006200
1
0
01
.

G/-060 0140 .5c.
G/0060 0140 .5c.
G/0000 0150 .3c3e.
G/0000 0300 .

G/-060 0140 .5c.
G/0060 0140 .5c.
G/0000 0150 .3c3e.
G/0000 0300 .

G/0000 0050
>*;1

G/-060 0140 .5n..
G/0060 0140 .5o..
G/0000 0150 .5p..
G/0000 0300 .

G/-060 0140 .5n..
G/0060 0140 .5o..
G/0000 0150 .5p.c.
G/0000 0300 .

G/-060 0140 .5n.c.
G/0060 0140 .5o.c.
G/0000 0150 .5p.ce.
G/0000 0300 .

G/0000 0050
>*;2

G/0000 0150 .5+.
G/0000 0075 .5-.
G/0000 0000 .5_.
X/x000 0170 .5ce5c.
X/x000 0170 .5ce5c.
X/x000 0170 .5ce5c.
G/0000 0300 .

G/0000 0150 .5+.
G/0000 0075 .5-.
G/0000 0000 .5_.
X/x000 0170 .5ce5c.
X/x000 0170 .5ce5c.
X/x000 0170 .5ce5c.
G/0000 0300 .

G/0000 0150 .5+.
G/0000 0075 .5-.
G/0000 0000 .5_.
X/x000 0170 .5ce5c.
X/x000 0170 .5ce5c.
X/x000 0170 .5ce5c.
G/0000 0300 .

G/0000 0050
>*;3

G/-060 0150 7cd.i1i1i5
G/0060 0150 7cd.i1i1i5
G/0000 0130 7Kei.i1i1i.5

G/-060 0150 7cd.i1i1i5
G/0060 0150 7cd.i1i1i5
G/0000 0130 7Kei.i1i1i.5

G/-060 0150 7cd.i1i1i5
G/0060 0150 7cd.i1i1i5
G/0000 0130 7Kei.i1i1i.5

G/0000 0050
>*;4

G/-060 0150 7ca.ki.5
G/0060 0150 7ca.ki.5
G/0000 0130 7Kki.i1i1i.5

G/-060 0150 7ca.ki.5
G/0060 0150 7ca.ki.5
G/0000 0130 7Kki.i1i1i.5

G/-060 0150 7ca.ki.5
G/0060 0150 7ca.ki.5
G/0000 0130 7Kki.i1i1i.5

G/0000 050
>*;5

G/-060 0150 7ca.ki5v.
G/0060 0150 7ca.ki5v.
G/0000 0130 7Kki.i1i1i.5

G/-060 0150 7ca.ki5v.
G/0060 0150 7ca.ki5v.
G/0000 0130 7Kki.i1i1i.5

G/-060 0150 7ca.ki5v.
G/0060 0150 7ca.ki5v.
G/0000 0130 7Kki.i1i1i.5

G/0000 050
>*;6

.....
!
