006000
4
2
08
.

G/-100 0150 .knos.
G/0100 0150 .knos.
G/0000 0080 ...r..k2k2k.
G/0000 -080 .i1i1i1i1i1.
X/x000 0180 .fdkei.
G/0000 0150 .knos1knos1knos.
G/0000 -080 .i1i1i1i1i1.
X/x000 0180 .fdkei.
G/-100 0150 .knos1knos1knos.
G/0100 0150 .knos1knos1knos.

G/0000 0300
.>*;1

G/0000 0160 .u...

G/-100 0150 .so.
G/0100 0150 .sn.
G/-100 0100 .sok
G/0000 0100 .nok
G/0100 0100 .snk

G/-100 0150 .so.
G/0100 0150 .sn.
G/-100 0100 .sok
G/0000 0100 .nok
G/0100 0100 .snk

G/-100 0150 .so.
G/0100 0150 .sn.
G/-100 0100 .sok
G/0000 0100 .nok
G/0100 0100 .snk

G/0000 0300
.>*;2


G/0000 0160 .u...

G/-100 0150 .soe.
G/0100 0150 .sne.
G/-100 0100 7soke
G/-050 0100 7soke
G/0050 0100 7snke
G/0100 0100 7snke

G/-100 0150 .soe.
G/0100 0150 .sne.
G/-100 0100 7soke
G/-050 0100 7soke
G/0050 0100 7snke
G/0100 0100 7snke

G/0000 0300
.>*;3

G/-100 0160 .u.u.u...
G/0100 0160 .u.u.u...

G/0000 0300
.>*;4

.....
!
