009400
3
1
03
.

G/0000 0180 .de5e5eh..5
G/-080 0100 .+d6e6c6e6c+.
G/0080 0100 .+d6e6c6e6c+.

G/0000 0180 .de5e5eh..5
G/-080 0100 .+d6e6c6e6c+.
G/0080 0100 .+d6e6c6e6c+.

G/0000 0180 .de5e5eh..5
G/-080 0100 .+d6e6c6e6c+.
G/0080 0100 .+d6e6c6e6c+.

G/0000 0050
>*;1

G/0000 0150 .d5i7e7e7e.
G/-100 0150 .ced.5
G/0100 0150 .ced.5

G/0000 0150 .d5i7e7e7e.
G/-100 0150 .ced.5
G/0100 0150 .ced.5

G/0000 0150 .d5i7e7e7e.
G/-100 0150 .ced.5
G/0100 0150 .ced.5

G/0000 0050
>*;2

G/0080 0050 .e_g.2g.2g.2.
G/-080 0050 .e_g.2g.2g.2.
G/0000 0150 .dg.2ig.2ig.2i.

G/0080 0050 .e_g.2g.2g.2.
G/-080 0050 .e_g.2g.2g.2.
G/0000 0150 .dg.2ig.2ig.2i.

G/0000 0050
>*;3

G/0000 0150 .2c
E/x000 0180 9ba 5e5e5e
E/x000 0180 9ba 5e5e5e
E/x000 0180 9ba 5e5e5e

G/0000 0150 .2c
E/x000 0180 9ba 5e5e5e
E/x000 0180 9ba 5e5e5e
E/x000 0180 9ba 5e5e5e

G/0000 0050
>*;4

.G/0000 0150 .cib1
X/-240 y000 ..kc.
X/0240 y000 ..kc.

.G/0000 0150 .cib1
X/-240 y000 ..kc.
X/0240 y000 ..kc.

G/0000 0050
>*;5

G/0000 0150 .c.
2X/x000 y000 ... cae0cae0.
2X/x000 y000 ... cae0cae0.

G/0000 0050
>*;6

G/0000 0150 .pf..f....5
X/x000 0180 .4nobi.
X/x000 0180 .4nobi.
X/x000 y000 ..3cbi2c7
X/x000 y000 ..3cbi2c7

G/0000 0050
>*;7

.....
!
